pdf_name,year,region,project_type,nom_commune,dept,land_surface_ha,power_mwc,longitude,latitude
240227_aparaxx_parcpv_treban_03-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Treban,03,55.0,40.0,3.1654172286,46.3993644498
240216_aparaxx_parcpv_montjoyer_26.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Montjoyer,26,15.0,7.6,4.87794122757,44.4826616889
20240118-ap-pv-lagardeadhemar-26_vym_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Garde-Adhémar,26,1126.0,3.04,4.74995521601,44.3910321281
2023ap1637_parc_pv_donzere_26_ok.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Donzère,26,14.0,4.0,4.70892869285,44.4321090221
2023-ara-ap-1636_corrige.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Montilly,03,19.7,13.3,3.24005745558,46.610528559
2023-ara-ap-1638_montilly_etang_guichard_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,,,10.93,11.0,,
20231211-ap1628-pv-anglards-de-salers-15-vf.pdf,2024,Auvergne-Rhône-Alpes,agrivoltaïques,Anglards-de-Salers,15,33.01,9.07,2.46563596922,45.1968681606
2023-ara-ap-1624_st_hilairevfinal.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Hilaire,03,9.0,10.0,3.01543389624,46.4866887035
231219_aparaxxx_pc_centralepvsol_issoire_63.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Issoire,63,5.3,3.9,3.24499324643,45.5455577894
231026_ap1614_parcpvsol_voussac_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Voussac,03,496200.0,38.0,3.07336455653,46.3256833709
2023-ara-ap-1609-centralepv-nervieux-42vfinale-2.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Nervieux,42,17.8,10.5,4.14151199652,45.8118000128
231121_aparaxxx_parcpv_batie-rolland_26.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Bâtie-Rolland,26,10.25,5.5,4.86691277503,44.557639861
2023-ara-ap-1604_vf.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Pierrelatte,26,25.0,7.0,4.68715113615,44.3606937732
230913_projet_ap-1601-_parcpv_-colonzelle_26_vf.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Colonzelle,26,1.735,1.41,4.89981524521,44.3849707988
231107_apara1598_parcpv_chevagnes_thiel_03_delibere.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Chevagnes,03,50.0,34.6,3.56403297131,46.6082038568
231107_apara1598_parcpv_chevagnes_thiel_03_delibere.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Thiel-sur-Acolin,03,50.0,34.6,3.57823760672,46.5311020411
