pdf_name,land_surface_ha,power_mwc
8640_avis_parc_agrivolt_eragny_sur_epte-2.pdf,26.0,8.0
2022apo36.pdf,10.0,12.2
2023apbfc57__pv_flottant_dpmec_hery_89.pdf,9.1,2.6
2023apo36.pdf,6.17,4.23
2025apge32-1.pdf,5.7,
2022appaca19.pdf,35.0,
p_2024_16026_pv_naintre_86.pdf,11.7,14.2
2023appaca23-2.pdf,40.0,10.0
p_2022_13061_centrale_photovoltaique_got_thie_dirac_16_mrae_signe.pdf,30.68,31.0
2024apo6.pdf,12.0,4.33
p_2024_15794_avispvcible.pdf,24.3,16.9
8224_8225_8226_avis_centrale_photovauby-3.pdf,31.0,
2025apo47.pdf,,9.5
pdl-2022-6117_centralepvangers_49_2022appdl42.pdf,6.2,
p_2022_12483_a_centrale_agrivoltaique_77ha_allons_signe.pdf,1063.0,260.0
p_2021_10624_avis_pv_st_etienne_de_fougeres_47_signe.pdf,250.0,
2024apo47.pdf,8.5,6.7
5776_avis_ae_ferme_photovoltaique_fritz_james.pdf,,
2022apge34.pdf,9.4,
p_2022_13123_cr_landes_17-mrae_signe_v2.pdf,2.3,
p_2020_10119-10120_apna105_centrale_poitiers_biard_86_mee_signe-1.pdf,17.8,20.98
p_2021_10788_pv_le_fouilloux2_17_signe.pdf,50.0,12.0
2025apo84.pdf,46.0,15.8
a_2021_3989_centrale_photovoltaique_delibere.pdf,27.2,14.7
2024apo90.pdf,13.3,15.7
2021apara130_centrale_pv_brioude_beaumont_43.pdf,26.0,12.0
p_2020_10014_avisae_delegation_centrale_neuvic-entier_87_signe.pdf,5.0,
2025apo90.pdf,7.76,5.6
2022apo113.pdf,3.1,3.4
20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf,43.35,31.3
2022apo107.pdf,26.7,23.4
p_2021_11728_a_pv_cavignac_33_mrae_signe-1.pdf,5665.0,5.361
2025apge44.pdf,20.0,
2022apo106.pdf,3.9,2.2
251028_apara1949_parcpv_poncin_01_delibere.pdf,3.95,4.05
p_2021_11716_avis__mrae_signe.pdf,3417.0,
2025apge51.pdf,90.0,
2024apo85.pdf,4.3,4.3
p_2021_11432_avis_parcpv_saintrogatien_17-f-1_mrae_signe.pdf,2.0,2.1
p_2024_15578_avis_agripv_puyrolland_17.pdf,10.5,7.97
p_2018_6737_delegation_centrale_photovoltaique_st_quentin_du_dropt_47_jt_signe.pdf,280000.0,
2025apo91.pdf,1.15,
2025apo85.pdf,3.9,3.7
2024apo91.pdf,4.6,3.6
200211_apbfc07_central_photovolt_moneteau_89.pdf,23.5,500.0
2022apge21.pdf,5.1,30.0
2024-ap-1671-parc_pv-toulonsurallier-03vfinale.pdf,280.0,17.6
pdl-2021-5242_pccentralepv__noyantvillages_49_2021appdl32.pdf,12.93,6.0
240906_aparaxx_parcpveoliennes_treban_03_vf.pdf,55.0,40.0
2024apo46.pdf,10.0,2.5
20240226-au1378-ap1669-dpmecdu-centralepv-orleat-63_vfinale.pdf,73.0,17.68
210727_apbfc28_pv_champlitte_70.pdf,35.5,17.6
2025apo46.pdf,7.72,7.88
2024apo52.pdf,,
8165_avis_creation_centrale_solaire_bazoches.pdf,23.8,11.8
2023apara60_centrale_pv_saint_paul_de_tartas_43.pdf,2.67,2.9
8224_8225_8226_avis_centrale_photovauby-2.pdf,31.0,
2022-010266-avis-mrae_pv_garrigues-st-eulalie_vmrae.pdf,7.2,6.8
2018apge74.pdf,15.0,
2022appaca30.pdf,,
12620_avistacite_projet_pv_sol_loguivyplougras_22_2025apb99.pdf,,
2024apo7.pdf,25.4,17.4
p_2023_14191_avis_centrale_photovoltaique_sauze_vaussais_79.pdf,7.0,5.1
p_2019_7520_ae_pv_escaudes-avis_jt_signe.pdf,1900.0,53.0
pdl-2021-5294centralepvla_grouas__72_signe.pdf,8.6,4.2
p_2023_14103_avis_ae_formule_centrale_solaire_masseret_19_signe.pdf,4.6,4.8
p_2019_7831_photovoltaique_labrede_33_mrae.pdf,11.5,17.0
4659_info_tacite_parc_photo_leforest.pdf,,
240216_aparaxx_parcpv_montjoyer_26.pdf,15.0,7.6
2022apo23.pdf,38.8,16.0
2022apbfc38_pv_lesme_71.pdf,35.0,28.5
10406_avistacite_centralepvausol_cessonsevigne_35_2023apb20_mentionsigne.pdf,,
p_2023_14887_agripv_orist_40_signe.pdf,400.0,12.8
pdl-2022-6663_projet_centralepv_vion_72_2023appdl24.pdf,2.0,
8641_avis_parc_agrivolt_trie_chateau.pdf,29.0,8.0
11344_avis_projetagrivoltaique_dinge_35_2024apb34.pdf,20.0,12.2
190826_apbfc43_photovoltaique_montceau-les-mines-71_tacite.pdf,,
2021apcvl8.pdf,15.3,1.0
7841_avis_sans_obs_centrale_photo_versigny_rosieres.pdf,50.78,
a_3075_2019_aae_projet-parc-photovoltaique_clecy_delibere.pdf,6.6,5.6
2022apbfc29_centralepv_courchaton_70.pdf,9.18,3.775
p_2023_15041_pv_aslonnes_avis-1.pdf,4.4,1.0
2023apge81.pdf,7.64,1.0
12637-38-39_avis_pv_noeblanche_35_signe.pdf,15.8,15.0
2022apara17_projet_photovoltaique_charroux_03.pdf,13.3,13.46
2023apge95.pdf,37.75,1.0
ap1678-parcpv_loriolsurdrome_26_pour_publication.pdf,19.5,2.9
